ISTILAH	KEPANJANGAN	PENGERTIAN	DEPARTEMEN	CARA PERHITUNGAN DAN KETERANGAN LAINNYA ( JIKA ADA)																			
234 SC	Siliwangi Club 234 secara definisi umum, dan 234 Soerjosoemarno Clan secara khusus	Organisasi Massa yang berlatar belakang komunitas kepemudaan yang bergerak pada bidang sosial. Organisasi ini merupakan perluasan dari Pemuda Pancasila, dimana 234 SC menaungi anggota-anggota yang kelas menengah keatasnya sedangkan PP berisikan golongan kelas menegah kebawahnya. Petinggi 234 SC diisi oleh kerabat-kerabat Japto Soerjosoemarno. Saat ini organisasi massa ini diketuai oleh Abi Shalom atau lebih dikenal Abi Japto, anak kandung dari Japto Soerjosoemarno.	REMO																				
2LM	Last Two Month	Status data dua bulan sebelumnya	umum																				
3LM	Last Three Month	Status data tiga bulan sebelumnya	umum																				
5C	Character, Capital, Capacity, Collateral, Condition	Metode analisa yang dipakai oleh komite kredit untuk menentukan kelayakan customer untuk menerima pembiayaan dari ACC	Underwriting																				
A/N	Atas Nama		Sales																				
AA	Account Acquisition	Merupakan tahapan dan langkah -langkah proses kredit yang dialami oleh customer mulai dari customer berada di dealer sampai dengan adanya kendaraan di terima oleh customer	Branch																				
AA		Kelas Cabang dengan Saldo AF di atas 60M dan saldo AR di atas 800 M	umum																				
AAB	Asuransi Astra Buana	Salah satu vendor asuransi yang bekerja sama dengan ACC perihal perlindungan kedit di ACC	Operation																				
AAB Syariah	Asuransi Astra Buana Syariah	Suatu perusahaan asuransi jiwa yang bekerjasama dengan ACC untuk kontrak syariah	Underwriting																				
AAF	Astra Auto Finance	Salah satu perusahaan yang dinaungi oleh ACC	umum																				
AAV	Auto Asset Verification	Proses verifikasi unit kepada customer	Sales	List pertanyaan adalah sebagai bentuk konfirmasi seperti: tanggal berapa unit di terima, kepastian tanggal jatuh tempo, warna unit, tipe kendaraan dan  verifikasi data-data seperti: tanggal lahir dan nama ibu kandung.																			
AAV Centro		Sistem AAV (verifikasi customer) secara terpusat	Underwriting	Untuk ACC sistem AAV Centro ada di Jogjakarta dan Jakarta																			
ABDA	Asuransi Bina Dana Arta	Suatu perusahaan asuransi kendaraan yang bekerjasama dengan ACC	Underwriting																				
ABT	ACC Basic Training	Training yang berisi pengetahuan dasar mengenai ACC, berupa filosofi, nilai, sejarah, profil perusahaan, dll.	HC LM																				
ACC Dealers Championship		Program reward ACC untuk dealer indirect	SALES																				
ACC Flexy		Program dana pinjaman tunai dengan jaminan BPKB lebih di prioritaskan bagi customer non ACC dengan bantuan Sales Agent	Sales																				
ACC Multibonus		Program reward Multiguna untuk Agen Flexi yang berkontribusi valid ke ACC	SALES																				
ACC Priority		Program pinjaman dana tunai dengan jaminan BPKB untuk customer priority ACC ( overdue < 15 hari)	Sales	Kriteria overdue maksimal 10 hari dan masih memiliki 6 angsuran terakhir di ACC																			
ACC WIN	ACC Walk In	Merupakan program baru ACC dimana customer yang berstatusnya RO/closed menjaminkan kembali BPKBnya untuk di beri pinjaman dana tunai.	Multiguna	Sasaran customer di khususkan kepada customer Walk in melalui CSO di setiap cabang.																			
ACC Xtra 2017		Program reward untuk dealer-dealer Used Car	SALES																				
ACC Yes!		Aplikasi bersifat online untuk mempermudah customer mendapat layanan dan informasi ACC (perhitungan simulasi kredit, angsuran, paket kredit ACC, produk ACC dsb)	Digital Marketing																				
Achievement FPD	Achievement 1st Paymend Default	Hasil pencapaian FPD cabang tiap bulan	Underwriting	1 + (target-aktual)/target																			
Achievement Surveyor		Hasil pencapaian yang surveyor dapatkan dari perjalanan survey yang dilakukan dan didapatkan	Underwriting	35% * Total Productivity + 40% * Total Quality + 25% * Total Delivery																			
Achivement		Hasil dari pencapaian dalam jumlah %	Sales, Underwriting,AR	1 + (target - actual)/target																			
ACP	ACC Credit Protection	Merupakan fasilitas Perlindungan Asuransi Jiwa bagi Nasabah ACC. Perlindungan ini melingkupi perlindungan terhadap kematian dan cacat baik karena penyakit ataupun kecelakaan	Sales																				
ACP MONTHLY	Astra Credit Protection Monthly	Produk Asuransi Jiwa yang dikeluarkan oleh ACC yang pembayarannya dilakukan saat setelah kontrak telah berjalan beberapa lama. 	Sales 																				
ACP SINGLE	Astra Credit Protection Single	Produk Asuransi Jiwa yang dikeluarkan oleh ACC yang pembayarannya dilakukan dari awal kontrak.	Sales 																				
Actual		Hasil yang didapat dari nilai yang sebenarnya	AR																				
Actual FPD	Actual 1st 9 Default	Pengukuran jumlah FPD yang ada pada hari berjalan	Underwriting	Jumlah acc.nunggak/jumlah acc.valid																			
ADD COLL	Additional Collateral	Penambahan jaminan berupa aset	Fleet																				
ADDB	Angsuran Dibayar Di Belakang	Angsuran yang dibayarkan pada bulan berikutnya	Fleet	Angsuran yang dibayarkan pada bulan berikutnya																			
ADDB	Angsuran Dibayar Di Belakang	Angsuran yang dibayarkan pada bulan berikutnya	Sales	Angsuran yang dibayarkan pada bulan berikutnya --> Rumus TDP (ADDB) : DP + Admin																			
Additional worklist		Daftar pekerjaan tambahan yang dikerjaan oleh underwriting officer agar dapat mencapai target workload productivity	Underwriting																				
ADDM	Angsuran Dibayar Di Muka	DP + Cicilan pertama dibayar di awal	Sales	Nilai angsuran pertama + DP murni + Admin																			
Address History		Menu di dalam AOL untuk melihat history alamat terupdate	AR																				
ADH	Administration Head	Salah satu posisi dalam struktur Astra direct baik TSO, DSO, atau ISO. Bertanggung jawab terhadap semua kegiatan administrasi di cabang, baik laporan unit, service, kas, atau pun pegawai.	Sales																				
ADHOC		Event maupun laporan yang tidak regular, bisa terjadi tiba-tiba dan mendadak.	umum																				
ADIDAS	Astra Credit Companies Dashboard	bentuk simple dari REANI yang lebih fokus untuk data sales	RISK MIS																				
Admin Balik		Refund yang diberikan ke pihak dealer melalui biaya admin balik	Sales	Biaya Admin yang di berikan pada customer - biaya admin yg telah di tetapkan pada dealer																			
Admin collateral		Biaya penarikan yang di dapatkan berdasarkan bedah analisa kasus	AR																				
AF	Amount Finance	Nilai yang harus dibayarkan	Sales	OTR-DP																			
AFD	Agent Flexi Day	Sebuah program gathering yang dilakukan setiap Minggu di cabang untuk berdiskusi dengan Agen-Agen Flexi.	SALES																				
AFLMP	ACC Firstline Management Program	Program pengembangan karyawan internal ACC untuk naik jabatan ke Supervisor	SALES	Lama program first line adalah 4 bulan																			
AGING	Aging	Tools yang menunjukan data customer outstanding	Fleet																				
Aging Hidup		Data daftar detil customer secara keseluruhan yang sudah overdue pada status tanggal tertentu dan status overduenya akan berubah pada setiap harinya	AR																				
Aging Mati		Data daftar detil customer secara keseluruhan, baik itu yang sudah overdue maupun yang berpotensi overdue pada status pada tanggal tertentu (biasa pada status tanggal akhir bulan/ tutup buku)	AR																				
AGU	Amandemen Ganti Unit	Pergantian unit karena proses klaim asuransi	Service	Untuk sistem asuransi biasanya TLO dengan tingkat 75% kerusakan dan harga AGU harus di atas harga pasar unit sebelumnya.																			
AHRM	Astra Human Resources Management	Sistem management astra secara khusus terkait dengan HR/HC	HC LM																				
AI ISO	Astra Internasional Isuzu Sales Operation	Dealer Direct Astra Internasional yang menyediakan produk isuzu	umum																				
AI TSO	Astra Internasional Toyota Sales Operation	Dealer Direct Astra Internasional yang menyediakan produk toyota	umum																				
AIA	ACC Improvement Award	Proses awarding tahunan untuk improvement yang dilakukan setiap individu maupun cabang di ACC	CSCO																				
AI-DSO	Astra Internasional - Daihatsu Sales Operation	Dealer direct Astra yang menjual merk Astra daihatsu	umum																				
AJF	Akta Jaminan Fidusia	akta fidusia, yang dapat digunakan ACC untuk menarik unit apabila customer menunggak	Underwriting																				
All Risk	All Risk	Klaim dapat diajukan terhadap segala resiko(termasuk beret, lecet)	Sales	Cara pengajuan: dalam 3 x 24 jam customer harus menghubungi pihak asuransi dan pihak CSO ACC dan di kenakan biaya sebesar 300.000/kejadian																			
ALPHA		Hitungan insentif head yang berhubungan dg KPI utama dari satu head departement di cabang	Operation																				
AM	Account Maintanance	Proses yang dialami customer dari mulai membayar uang angsuran dan penanganan jika customer terlambat untuk membayar angsuran.	umum																				
AMANDEMEN	Perubahan Perjanjian	Penambahan pada bagian tertentu dalam suatu perjanjian	umum																				
AML	Anti Money Laundering	Kebijakan untuk mencegah pencucian uang	RISK POL																				
Ammount		jumlah uang	AR																				
AMMP	Astra Middle Management Program	Program pengembangan karyawan ASTRA yang telah mencapai posisi manajerial ke tingkat yang lebih tinggi, misalnya manajer area	HC LM																				
AMOS	Application Mobile For Surveyor	Aplikasi untuk Surveyor area BPR, dengan sudah menggunakan gadget dan online	Underwriting	List Cabang BPR: DKI dan Jawa Barat																			
AMS	Astra Management System	Sistem management astra	Operation																				
AMT ADMIN FEE	Amount admin fee	besarnya biaya administrasi kontrak	RISK POL																				
AMT INSU BYDEALER 	Amount insurance by dealer 	besarnya nilai asuransi balik	RISK MIS																				
AMT_ADMIN_BYDEALER	Amount Administrasi Dealer	Jumlah admin hold dealer yang muncul di ASCII Sales	Underwriting (SUW)																				
Angsuran kredit		Nominal yang harus dibayarkan oleh customer pada jatuh tempo	Sales																				
Ansus	Analisa Kasus	Keterangan mengenai kronologis penarikan unit yang dilakukan oleh PEOJF biasanya untuk approval dan mengetahui besarnya biaya tarik.	AR																				
AO	Additional order	pengajuan kredit kembali menambah kontrak sebelumnya yg belum lunas	Sales																				
AO	Account Officer	Pihak yang melakukan account acquisition di fleet	Fleet																				
AOL	ACC Online	Software yang digunakan oleh ACC untuk operasi	umum																				
AOL	ACC Online Landing	Suatu sistem operasi yang dipakai oleh ACC khususnya cabang dalam tujuan support kegiatan operasional.	umum																				
AP	Account Payable	Hutang yang di miliki oleh customer	AR																				
AP 	Amount Payable	jumlah tagihan yang wajib dibayarkan oleh ACC kepada dealer atas penjualan unit	Underwriting																				
AP OP	Approval Open	Status ketika suatu aplikasi yang sudah entri data hingga HRD dan sudah bisa dilakukan analisa	Underwriting																				
AP Paylog		Salah satu fungsi di AOL untuk melihat waktu yang dipakai dalam memproses satu aplikasi	Underwriting																				
AP Payment	Account Payable Payment	Nama admin yang memiliki fungsi dalam validasi aplikasi dan tagihan pembayaran dealer	Underwriting																				
AP RE	Approval Reject	Status ketika suatu aplikasi di reject oleh komite kredit	Underwriting																				
APH	Akte Pengakuan Hutang	Customer mengakui memiliki sejumlah hutang kepada ACC	AR																				
APHT	Akta Pembebanan Hak Tanggungan	Pengikatan asset yang dijaminkan secara notaril	Fleet																				
Aplikasi In		Aplikasi / data pemesanan kendaraan yang masuk ke ACC Dari dealer	Sales																				
Aplikasi valid		Aplikasi yang sudah diapporve dan tagihan sudah dibayarkan ke dealer	Sales																				
App Cremo	Approval Cremo	Proses Approval Cremo untuk aplikasi dimulai dari BUH / OH sampai COO	Underwriting																				
APPI	Asosiasi Perusahaan Pembiayaan Indonesia	Sebuah organisasi profesi yang menjembatani antara perusahaan pembiayaan dengan pemerintah Indonesia.didirikan untuk menjadi wadah komunikasi bagi perusahaan-perusahaan pembiayaan, seperti membicarakan dan memecahkan berbagai masalah yang dihadapi.	umum																				
Appl. Log	Application Log	Rekaman (history) sistem tentang suatu aplikasi berupa approval, cetak kontrak, go-live di tanggal brp saja)	Underwriting																				
APPLOG 	application log	format dalam aplikasi input data di AOL yang berguna untuk melihat history proses aplikasi 	sales 																				
Appron 		Bagian depan mobil (kap) tempat mesin  (seperti yang ada di GMPU)	National Remarketing																				
Approve		Keputusan komite kredit yang menyetujui pembiyaan kepada customer yang memenuhi analisa 5C	Underwriting																				
AQ	Account Quality	Pihak yang menangani overdue 1-60 di divisi fleet	Fleet																				
AR	Account Receivable	Piutang	AR																				
AR Clinic	AR Clinic	Metode yang dilakukan oleh pejabat AR Management untuk konsultasi mengenai performance AR baik individu maupun cabang	AR																				
AR NET	Account Receivable Nett	Nilai pokok hutang piutang perusahaan yang outstanding pada periode tertentu	Finance																				
ARBT	AR Basic Training	Ujian basic untuk kompetensi divisi AR khususnya untuk karyawan baru.	AR																				
ARDH	Account Receivable Divison Head	Merupakan suatu jabatan division head khusus penanganan AR	AR																				
ARDP	AR Development Program	Bagian dari program JLDP  berfokus pada bagian / divisi AR selama 4,5 Bulan	AR																				
ARHH	Account Receiveable Handling Head	Jabatan cabang coordinator ARHO yang bertugas monitoring dan control serta membantu kegiatan ARHO dan bertanggung jawab langung kepada ARMH	AR																				
ARHO	Account Receivable Handling Officer	Jabatan yang menagih tunggakan, mengetahui alasan customer overdue serta memberikan solusi pembayaran over 7-30	AR																				
ARMH	Account receivable management head	Jabatan cabang yang menangan Account receivable yang bertanggung jawan langsung kepada RRAR	AR																				
ARRO	Account Receivable Repossesion Officer	Jabatan yang menagih tunggakan, dan menarik kendaraan 	AR																				
ASCII	American Standard Code for Information Interchange	Kode Standar Amerika untuk Pertukaran Informasi merupakan suatu standar internasional dalam kode huruf dan simbol seperti Hex dan Unicode tetapi ASCII lebih bersifat universal, contohnya 124 adalah untuk karakter	umum																				
ASCII		Sistem yang digunakan ACC untuk melakukan penarikan data	umum																				
ASCII_CAB	ASCII Cabang	Kode cabang dalam suatu area untuk melihat pembagian dengan cabang lain	Sales																				
ASF	Astra Sedaya Finance	Nama lain dari Astra Credit Companies (ACC)	umum																				
ASR	Average Selling Rate	Rata-rata nilai rate yang dijual ACC	Sales	Tambahin cara perhitungan																			
ASTEK	Asuransi Tenaga Kerja	Asuransi untuk karyawan	HC PCBM																				
ATPM	Agen Tunggal Pemegang Merk	contoh: agen tunggal toyota adalah Toyota Manufacturing Indonesia	Sales																				
Aviva Life		salah satu maskapai asuransi jiwa yang berkerja sama dengan ACC	Underwriting																				
b2b	Business to business	Merupakan suatu bentuk aktifitas dimana yang terlibat adalah antar bisnis atau antar perusahaan	umum																				
BA		Kelas cabang dengan Saldo AF antara 35 hingga 60M dan saldo AR di atas 800M 	HC OD																				
Backdate		pengunduran hari ovd dan denda karena pending payment	AR																				
Backdate		Kembali ke tanggal sebelumnya (digunakan dalam pembuat report)	Operation																				
BACKLOG	Backlog	Aplikasi status approve yang belum valid	Sales, Underwriting,Fleet																				
Bad Customer		Merupakan customer-customer yang status aplikasi kreditnya INV,INVS,WO	Underwriting																				
Bad Ratio		indikator untuk mengukur customer yang overdue lebih dari 30 hari di 3 bulan pertama	RISK MIS																				
Bad_Mob12_60	Ever60+@12MOB	Customer yang ovd >60 hari dalam waktu 12 bulan setelah valid	RISK MIS																				
Bad_Mob12_90	Ever90+@12MOB	Customer yang ovd >90 hari dalam waktu 12 bulan setelah valid	RISK MIS																				
Bad_Mob3_30	Ever30+@3MOB	Customer yang ovd >30 hari dalam waktu 3 bulan setelah valid	RISK MIS																				
Bad_Mob3_60	Ever60+@3MOB	Customer yang ovd >60 hari dalam waktu 3 bulan setelah valid	RISK MIS																				
Bad_Mob3_7	Ever7+@3MOB	Customer yang ovd >7 hari dalam waktu 3 bulan setelah valid	RISK MIS																				
Bad_Mob6_30	Ever30+@6MOB	Customer yang ovd >30 hari dalam waktu 6 bulan setelah valid	RISK MIS																				
Bad_Mob6_60	Ever60+@6MOB	Customer yang ovd >60 hari dalam waktu 6 bulan setelah valid	RISK MIS																				
Bad_Mob6_90	Ever90+@6MOB	Customer yang ovd >90 hari dalam waktu 6 bulan setelah valid	RISK MIS																				
BAL	Branch Action Log	Daftar aktivitas yang dilakukan oleh cabang untuk melakukan aktivitas perbaikan dalam review area	HC OD																				
BALADIKA	Baladika Bali	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Bali. Ketua umumnya saat ini Gus Bota.	REMO	Ormas																			
Baladika	Baladika 	Organisasi masyarakat yang banyak melakukan bisnis pengamanan di Bali, seperti restoran, hotel, dan klub malam. Sudah berumur lebih dari 10 tahun dan menjadi salah satu ormas terbesar di Bali yang sering berserteru dengan Laskar Bali. Saat ini diketuai oleh Nyoman Gde Sudiantara.	AR																				
Balance 120		ovd 121- WO	AR																				
Balance 90		ovd 91-WO	AR																				
Balance Overdue 30 		jumlah AR yang menunggak di atas 30 hari	AR																				
Balance Overdue 60 		jumlah AR yang menunggak di atas 60 hari	AR																				
Balance Overdue 7 		jumlah AR yang menunggak di atas 7 hari	AR																				
Balancing		Proses penyesuaian penilaian customer	HC TPM																				
Balang	Balai Lelang	Tempat proses pelelangan	National Remarketing	Contoh yang bekerja sama dengan ACC adalah: ibid																			
Baloon Payment		Bentuk paket kredit yang diakhir masa tenor / periode kredit, customer masih harus membayar 50% - 75% dari Total Hutang, karena pada masa kredit customer hanya membayar 25% atau 50% dari Total Hutang. kredit paket pembiayaan dimana sistem pembayaran  kredit dengan cara mengangsur setengahnya lebih dulu, kemudian sisa kewajiban dibayar di akhir tahun ketiga.	Sales																				
Bansur	Bantuan Survey	Merupakan request ke cabang lain untuk melakukan bantuan survey terkait customer tertentu	Underwriting (SUW)																				
BAPK	Berita Acara Penyerahan Kendaraan	Dokumen yang berisi tentang data kendaraan tarikan dan tandatangan pihak yang menyerahkan unit(konseumen/pemakai), pihak yang menerima unit (Petugas penarikan), pihak security pool dan pihak ACC (PIC Inventory dan Collection Head).  	AR																				
Basemaster		koordinator surveyor di cabang ACC Non BPR	Underwriting																				
BAST	Berita Acara Serah Terima	Dokumen serah terima unit dari dealer kepada customer	Underwriting																				
Batching		Jadwal untuk melakukan perhitungan dan atau pencatatan jumlah uang sesuai transaksi yang masuk disesuaikan dengan jumlah fisik uang.	Service	Untuk implementasi di cabang biasanya terjadi 3 x proses yaitu: jam 10.00, jam 14.00, dan jam 16.00																			
BBC	Buah Batu Corps	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Sunda. Saat ini diketuai oleh Mugi Sujana.	REMO	Ormas																			
BBG	Buyback Guarantee	Perjanjian pembelian kembali unit apabila customer overdue oleh guarantor	Fleet Underwriting																				
BC	Banker Clause	Asuransi non-AAB	Service																				
BCP	Business Continuity Plan	Memastikan kegiatan bisnis dapat terus berjalan, dan tidak tergangu akibat resiko bencana alam yang terjadi	RISK POL																				
Benefit		bentuk imbal jasa atau dasar dari kebutuhan yang berguna untuk memperlancar proses kerja	HC PCBM																				
Biweekly		Istilah yang digunakan untuk kegiatan rapat yang dilakukan setiap 2 mingguan oleh para head di cabang	umum																				
Biweekly review		Review terhadap kinerja UW officer dan berbagai issue yang terjadi di departemen underwriting yang disampaikan oleh BUH	Underwriting																				
Biweekly review meeting		media pertemuan dan koordinasi antar departmen yang dilakukan setiap 2 minggu sekali untuk membahas permasalahan cabang dan bersinergi bersama	MCS																				
BJ	Biro Jasa	Pihak external yang bekerja sama dengan ACC dalam handling kepengurusan surat-surat yang berhubungan langsung dengan samsat.	Service	Contoh handling: Proses BBN, Perpanjangan STNK, Cek absah BPKB																			
BKR	Bukti Kepemilikan Rumah	Dapat berupa tagihan listrik, PBB dan 	Underwriting																				
Black Area City		Area dengan resiko kredit tinggi	Underwriting																				
blacklist 	blacklist 	daftar data customer yang memiliki catatan buruk biasanya di dapatkan dari history kredit maupun list APPI	AR																				
Blue Dealer		DEALER WITH RISK >=5%	RISK POL																				
Blue Print		mapping seluruh ASCII yang ada di ACC	RISK MIS																				
BM	Branch Manager	Jabatan cabang head yang bertugas menjaga seluruh kegiatan cabang dan bertanggung jawab langung kepada RRSH	HC OD																				
BMFE	Barisan Muda Flores Ende	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Timor. Ketua umumnya Thalib Makarim.	REMO	Ormas																			
BMP	Batas Minimum Productivity	Merupakan batas standar seorang karyawan dikatakan produktif dalam pekerjaannya.	HC OD																				
BO	Beneficial Owner	Fasilitator kepemilikan kendaraan orang lain (keluarga inti)	Sales																				
BOD	Board Of Director	Jajaran Direksi suatu perusahaan	umum																				
Booking fee	Tanda jadi	Jumlah nilai nominal yang berperan sebagai pengikat antara dealer dan konsumen pada periode waktu tertentu dalam rangka pembelian mobil	Sales																				
Boom		Reward yg diberikan pd ARHO yang memiliki balance 7 lebih baik dr LM 	AR																				
Borrower Detail		Menu di dalam AOL untuk melihat data customer	AR																				
BOSS	Bandung Bodyguard and Security Service	organisasi Massa yang bergerak dalam bidang bisnis jasa keamanan di Kota Bandung. Didirikan Iskandarsyah Berlian alias Isbul alias kang Is. Saat ini diketuai oleh Youne Victorio Senduk.	REMO	Ormas																			
BOU	Bounce	Status Pencairan Giro apabila Pencairan Giro ditolak oleh bank	Service																				
BOU	Balance of Understanding 	Status pembayaran akun customer saat terjadi tunggakan 	AR																				
BPJS	Badan Penyelenggara Jaminan Sosial	Badan yang dibentuk pemerintah untuk memberikan perlindungan kesehatan kepada masyarakat	HC PCBM																				
BPKB	Bukti Pemilik Kendaraan Bermotor	Asset yang dimliki oleh ACC berupa bukti kepemilikan kendaraan customer, sebelum customer melakukan dan menyelesaikan pembayarannya di ACC maka BPKB ini di tahan dan di jadikan jaminannya.	Sales																				
BPKB Titipan Dealer		BPKB yang oleh dealer diserahkan ke cabang selain cabang booking	Service																				
BPPKBB	Badan Pembina Potensi Keluarga Besar Banten	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Banten. Saat ini ketua umumnya H. Noer Inderadjaya.	REMO	Ormas																			
BPR	Business Process Reenginering	Proses survey dan approval marketing expetion (marex)  dilakukan paralel dengan approval underwriting.	Underwriting																				
branch booking		Profil booking aplikasi cabang yang diproses oleh cabang tersebut	Sales,UW																				
branch handling		Proses penanganan penagihan hutang ke customer yang domisilinya paling dekat dengan salah satu daerah cabang ACC	AR																				
Branch Issues		Isu yang terjadi di cabang yang direport dalam review area	HC OD																				
brand		Salah satu jenis kendaraan seperti toyota, daihatsu	Sales																				
Breefing		sebuah pengarahan yang diberikan sebelum dimuainya kegiatan dalam perusahaan	umum	Isi dari briefing adalah: kendala yang dialami hari kemarin, diff to target, dan memberikan semangat.																			
Brosur		Material promosi yang berwarna dan berisi info fitur utama, spesifikasi, varian warna hingga tipe apa saja yang dipasarkan	Sales																				
BSTB	Berit Serah Terima BPKB	Dokumen yang menjadi sebuah bukti dari serah terima BPKB antara Pihak Dealer dan ACC	Sales 																				
BSTKB	Berita Serah Terima Kendaraan Bermotor	Bukti bahwa telah dilakukan serah terima kendaraan antara dealer dan customer	Underwriting																				
BT	Biaya Tarik	Biaya yang dikeluarkan untuk eksternal PEOJF untuk Eksekusi unit tarikan	AR	750.000/tarikan atau tergantung analisa kasus																			
Bucket 121-150		Daftar customer ovd 121-150	AR																				
Bucket 151-210		Daftar customer ovd 151-210	AR																				
Bucket 211-290		Daftar customer ovd 211-290	AR																				
Bucket 31-60		Daftar customer ovd 31-60	AR																				
Bucket 61-90		Daftar customer ovd 61-90	AR																				
Bucket 8-30		Daftar customer ovd 8-30	AR																				
Bucket 91-120		Daftar customer ovd 91-120	AR																				
Bucket Aplikasi		Daftar aplikasi kredit yang harus diproses/dianalisa	Underwriting (SUW)																				
bucket approval		list data customer yang membutuhkan keputusan kredit approve atau reject dari operation 	Underwriting																				
Bucket Assignment		Untuk mempercepat approval SK	AR																				
Bucket list		Daftar customer ovd	AR																				
BUH	Branch Underwriting Head	Jabatan cabang yang bertanggung jawab atas analisa credit dan proses administrasi kontrak	Underwriting																				
Buy back		membeli kembali kontrak kontrak JF menjadi kontrak reguler	RISK MIS																				
C2C	Customer to Customer	Penjualan dari perorangan ke perorangan (tidak melalui dealer)	umum																				
CA	Credit Analyst	Orang yang menganalisa kelayakan kredit	Fleet Underwriting																				
CA1	Credit Admin 1	jabatan di Underwriting yang memiliki fungsi untuk verifikasi dokumen customer dan pencetakan kontrak	Underwriting																				
Cabang  		Kantor yang mengurus kepentingan perusahaan yang kedudukannya di bawah kordinasi naungan kantor pusat	Sales	Klasifikasi penilaian kelas cabang biasanya dinilai dari jumlah OSA yang ditangani dan besarnya jualan. Klasifikasi dimulai dari AA, AB, AC, BA, BB dsb.																			
Cabang Centro		Cabang Utama ACC yang merupakan pusat dari cabang pembantu lainnya pada satu provinsi dan memiliki surveyor centro	Operation																				
Cabang SP	Cabang Service Point	Kelas cabang di bawah cabang D	Operation																				
CADF	Credit Admin Fiducia	Jabatan di ACC yang mengurus request Fidusia kepada notaris	Underwriting																				
CADM	Credit Administration	Salah satu jabatan di underwriting yg bertugas melakukan proses pembuatan fidusia	Underwriting																				
CAGR	Compound Annual Growth Rate	Tingkat pertumbuhan investasi dan bisnis dari periode tahun tertentu	Finance																				
CAL	Corrective Action Log	Tool monitoring yang di dapatkan dari penanganan deskcoll	AR																				
CAL	Corrective Action Log	Semua status PICA yang masih on progress dan masuk bi-weekly	umum																				
CAPS RED		Batasan (jumlah kuota) untuk tipe aplikasi Red / Red Segmen pada satu cabang	Operation	Persentase Cap Red x Rata - Rata Unit Valid 3 Bulan Terakhir																			
Capacity		Kemampuan kreditur untuk memenuhi kewajiban kreditnya	Underwriting																				
CAPEX	Capital Expenditure	Alokasi anggaran yang bersifat tetap (peralatan/perlengkapan)	Operation																				
Capital		Seluruh harta kekayaan yang dimiliki (perorangan), seluruh harta operasional yang digunakan	Underwriting																				
Capital Tangible		Parameter pada proses analisa yang dapat diukur	Underwriting																				
Capital Untangible		Parameter pada proses analisa yang tidak dapat diukur	Underwriting																				
capowo	Calon potensi WO	ovd 91-120	AR																				
Capowo	Calon Potensi Write Off	Status akun yang akan menjadi potensi WO pada status tanggal tertentu	REMO																				
CAPS PAKET	Capasitas Paket	Batasan untuk Paket Low Segmen DP 15%. Contohnya Paket Resolusi dan Paket Setia	RISK MIS																				
Cash advance	Cash advance	Deposit angsuran	Service																				
CASH COLL	Cash Collateral	Penambahan jaminan berupa angsuran	Fleet																				
Cashflow		Ketika customer mengalami macet pembayaran karena sumber pendapatan juga lagi macet	AR																				
CBM	Criteria Based Matrix	Merupakan suatu bentuk pemilihan alternatif solusi berdasar kriteria yang diinginkan	HC OD																				
CBO	Collection By Order	Bucket list AR yang dipersiapkan ARHH untuk dikunjungi	AR																				
CBO point	Collection By Order Point	Poin CBO	AR																				
